Lead,MSE,Accuracy
1.0,5.815672921016812e-05,0.0076260557398200035
5.0,0.00031373818637803197,0.017712656408548355
9.0,0.0004979336517862976,0.02231442555785179
13.0,0.000572503893636167,0.023927053436636925
17.0,0.000646034546662122,0.025417208671569824
21.0,0.0008197654969990253,0.02863154746592045
25.0,0.0009688126156106591,0.031125754117965698
29.0,0.001098562846891582,0.033144574612379074
33.0,0.0012389457551762462,0.03519865870475769
37.0,0.0013991164742037654,0.03740476444363594
