id,nome,tipoEstacao,codigoAdicional,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,responsavelSigla,operadoraSigla,areaDrenagem,latitude,longitude,altitude
10012956,MISAHUALL AJ EN EL TENA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9169,-77.8178,
10012957,UNION DEL RIO TENA CON EL PANO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9917,-77.8153,
10012958,RIO TENA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9925,-77.8158,
10012959,TENA SECTOR MALECÓN,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9925,-77.8153,
10012980,COSANGA SECTOR PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.5803,-77.8656,
10013000,COSANGA AJ QUIJOS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,492.0,-0.4917,-77.8639,1740.0
10013100,TERMAS DE PAPALLACTA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3617,-78.0589,
10013120,RIO PAPALACTA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3928,-78.0589,
10013200,QUIJOS EN BAEZA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,866.0,-0.4544,-77.8864,1770.0
10013300,QUIJOS AJ BORJA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,1530.0,-0.4094,-77.8308,1635.0
10013380,RIO OYACACHI EN PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3214,-77.7917,
10013400,QUIJOS DJ OYACACHI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,2510.0,-0.3028,-77.775,1490.0
10013500,MISAHUALLI EN COTUNDO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,185.0,-0.8389,-77.7839,800.0
10013550,SAN FRANCISCO DE BORJA SECTOR MINAS DE SUMACO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.035,-77.8319,
10013600,JATUNYACU DJ ILOCULLIN,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,3128.0,-1.0833,-77.9186,570.0
10013650,RIO MALO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.1528,-77.6411,
10013700,YANAHURCO DJ VALLE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,87.0,-0.6917,-77.2756,3590.0
10013710,RIO LUMBAQUI EN PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.0444,-77.3319,
10013720,RIO AGUARICO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.0567,-77.3242,
10013800,COCA EN SAN SEBASTIAN,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,5300.0,-0.3428,-77.0067,290.0
10013810,SAN SEBASTIAN DEL COCA SECTOR CAÑON DE LOS MONOS),Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3422,-77.0067,
10013850,RIO JONDACHI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.7817,-77.7906,
10013900,NAPO AJ PAYAMINO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.5375,-77.0294,
10014000,FRANCISCO DE ORELLANA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,12200.0,-0.4731,-76.9808,262.0
10014005,SAN PABLO DE USHPAYACU SECTOR COM. SANTO DOMINGO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9472,-77.7503,
10014010,SECTOR PUENTE EL SALADO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.9922,-77.6992,
10014100,PAYAMINO AJ NAPO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.4428,-77.0081,
10014110,RIO PAYAMINO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.4425,-77.0061,
10014120,PUERTO MISAHUALLI PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.0367,-77.6669,
10014130,NAPO UNION MISAHUALLI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.0356,-77.6661,
10014133,RIO NAPO EN PUERTO MISAHUALLI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.0353,-77.6664,
10014150,RIO SUNO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.6942,-77.3111,
10014230,RIO YANAYACU 3,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3231,-76.9575,
10014250,RIO DE LA PARKE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3242,-76.8717,
10014300,RIO SACHA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3028,-76.8589,
10014350,RIO SACHA EN PUENTE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3036,-76.86,
10014400,RIO EL ENO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.065,-76.8789,
