nome,latitude,longitude
LINHA JOSÉ JÚLIO,-29.0978,-51.6997
RIO TAQUARI (São Valentim do Sul),-29.0861,-51.7139
SANTA TEREZA,-29.1781,-51.7322
ARROIO RETIRO,-29.0053,-51.6094
USINA ALFREDO CHAVES,-28.8667,-51.5994
USINA SÃO DOMINGOS,-28.4536,-51.9086
USINA CASCA,-28.5506,-51.9281
PCH CAÇADOR PONTE SÃO DOMINGOS,-28.5792,-51.8686
PASSO MIGLIAVACA,-28.6189,-51.8558
RIO CARREIRO (Nova Bassano),-28.6833,-51.8472
PCH CAÇADOR MONTANTE,-28.6847,-51.8506
PCH CAÇADOR BARRAMENTO,-28.7075,-51.8503
CAÇADOR - CF,-28.7111,-51.8514
PCH BOA FÉ MONTANTE,-28.7117,-51.8525
PCH CAÇADOR JUSANTE,-28.7289,-51.8481
PCH BOA FÉ BARRAMENTO,-28.7464,-51.8536
PCH BOA FÉ ALÇA,-28.7464,-51.8536
PCH BOA FÉ JUSANTE,-28.7561,-51.8347
PCH SÃO PAULO BARRAMENTO,-28.775,-51.8447
PCH SÃO PAULO ALÇA,-28.7831,-51.8353
PCH SÃO PAULO JUSANTE,-28.7922,-51.8578
ARROIO TAQUARA (Guaporé),-28.8278,-51.8639
PCH AUTÓDROMO BARRAMENTO,-28.8283,-51.8419
PCH AUTÓDROMO ALÇA,-28.8292,-51.8614
PCH AUTÓDROMO JUSANTE,-28.835,-51.8372
PASSO CARREIRO,-28.8489,-51.8325
PASSO CARREIRO,-28.8508,-51.8333
SANTA BÁRBARA,-28.9164,-51.7786
RIO CARREIRO (Cotiporã),-28.9944,-51.7528
ARROIO NÃO SABIA (Nova Bassano),-28.7556,-51.6722
USINA SILVA PAIS,-28.75,-51.7
LINHA EMÍLIA,-28.9147,-51.7839
PCH LINHA EMILIA BARRAMENTO,-28.9411,-51.7739
PCH LINHA EMILIA JUSANTE,-28.9414,-51.7694
PCH COTIPORÃ BARRAMENTO,-28.9639,-51.7583
PCH COTIPORÃ JUSANTE,-28.9722,-51.7558
RIO TAQUARI (Muçum),-29.1611,-51.8583
MUÇUM,-29.1672,-51.8686
CGH CAPIGUI BARRAMENTO,-28.3511,-52.2147
CGH CAPIGUI JUSANTE,-28.3825,-52.2586
PASSO FUNDO T,-28.3833333333333,-52.25
USINA MARAU,-28.4806,-52.1967
USINA CAMARGO,-28.5892,-52.3008
USINA GONÇALVES DIAS,-28.5433,-52.1006
USINA MARIA,-28.5336,-52.0872
GUAPORÉ,-28.6661,-52.0983
CGH GUAPORÉ MONTANTE 2,-28.8244,-52.0639
CGH GUAPORÉ MONTANTE 1,-28.9189,-51.9514
PCH GUAPORÉ,-28.9167,-51.9667
CGH GUAPORÉ JUSANTE,-28.9314,-51.9128
RIO GUAPORÉ (Guaporé),-28.9083,-51.9528
LINHA COLOMBO,-28.9122,-51.9531
SANTA LÚCIA,-29.1197,-51.9119
SANTA LÚCIA,-29.1197,-51.9119
BARRA DO ZEFERINO,-29.0964,-51.9278
USINA PUTINGA I,-29.0,-52.15
ARROIO JACARÉ (Encantado),-29.1861,-51.9194
PONTE JACARÉ,-29.1886,-51.9219
USINA ENCANTADO,-29.2333333333333,-51.9
RIO TAQUARI (Roca Sales),-29.225,-51.85
ENCANTADO,-29.2344,-51.855
ENCANTADO,-29.2342,-51.8542
ROCA SALES,-29.25,-51.8666666666667
USINA POV.ARROIO DA SECA,-29.3733,-51.8483
ARROIO DO MEIO,-29.4,-51.9333333333333
PCH RASTRO DE AUTO MONTANTE,-29.0419,-52.2222
PCH RASTRO DE AUTO BARRAMENTO,-29.0533,-52.2194
PCH SALTO FORQUETA BARRAMENTO,-29.0814,-52.2083
PCH SALTO FORQUETA ALÇA,-29.0833,-52.2106
PCH SALTO FORQUETA JUSANTE,-29.0844,-52.2064
PASSO DO COIMBRA,-29.2161,-52.1622
RIO FORQUETA (Travesseiro),-29.3222,-52.0889
PONTE RIO FORQUETINHA,-29.3922,-52.0758
RIO FORQUETINHA (Forquetinha),-29.4058,-52.055
PCH USINA DO FÃO JUSANTE,-28.9378,-52.4856
CGH SOLEDADE BARRAMENTO,-28.9378,-52.4856
USINA SOLEDADE,-28.9164,-52.4978
RIACHO FÃO,-29.1597222222222,-52.2944444444444
BARRA DO FÃO,-29.2239,-52.1622
RIO TAQUARI (Colinas),-29.3833,-51.8722
RIO TAQUARI (Arroio do Meio),-29.4056,-51.9389
MARQUES DE SOUZA,-29.3119,-52.0928
PONTE FORQUETA,-29.4156,-51.9508
CAMPESTRE,-29.4325,-51.605
LAJEADO,-29.4156,-51.9508
ESTRELA II,-29.5153,-51.8569
LAJEADO,-29.4697,-51.9578
ESTRELA,-29.4733,-51.9622
ESTRELA,-29.4953,-51.9706
RIO TAQUARI (Estrela),-29.5111,-51.9778
PICADA DO CARNEIRO,-29.4497,-51.9181
ESTRELA - EH1,-29.4706,-51.9614
ESTRELA - EH2,-29.4706,-51.9614
ARROIO CASTELHANO (Venâncio Aires),-29.5917,-52.1889
BOM RETIRO DO SUL - MONTANTE,-29.6081,-51.9511
BOM RETIRO DO SUL - JUSANTE,-29.6164,-51.9383
URSULA - MONTANTE,-29.6164,-51.9383
URSULA - JUSANTE,-29.6164,-51.9383
RIACHO CASTELHANO,-29.6222,-52.015
JUSANTE JASPER,-29.6247,-51.9528
CAPITÃO MIGUEL - MONTANTE,-29.6664,-51.9819
CAPITÃO MIGUEL - JUSANTE,-29.6664,-51.9819
RIO TAQUARI (Venancio Aires),-29.6861,-51.9694
PORTO MARIANTE,-29.6922,-51.97
PORTO MARIANTE,-29.6947,-51.9692
PORTO GOMES,-29.7,-51.9666666666667
PONTE DE ZINCO,-29.7036111111111,-52.0375
ARROIO SANTA CRUZ,-29.775,-51.7472
TAQUARI,-29.8069,-51.8758
TAQUARI,-29.8069,-51.8761
ASILO PELA,-29.8333,-51.8333
GENERAL CÂMARA J6,-29.9197,-51.7339
RIO TAQUARI (Triunfo),-29.9278,-51.7306
