nome,latitude,longitude
LAGARTO,-10.6075,-73.8711
ATALAYA,-10.6903,-73.795
TROMPETEROS,-3.80527777777778,-75.0569444444444
NAUTA,-4.6397,-73.5717
IQUITOS,-3.7111,-73.2128
SANTA CLOTILDE,-2.48722222222222,-73.6791666666667
LA LIBERTAD,-3.4625,-73.2405555555556
SANTA CRUZ,-3.50027777777778,-73.1336111111111
SANTA MARIA DE NANAY,-3.08361111111111,-73.6669444444445
SEDA LORETO,-3.6942,-73.2358
FLOR DE PUNGA,-5.40555555555556,-74.1583333333334
TIMICURILLO,-3.5225,-73.0775
SANTA ROSA,-4.1986,-69.9642
BORJA,-4.47,-77.55
SAN LORENZO,-4.81666666666667,-76.55
SAN REGIS,-4.51,-73.95
REQUENA,-5.03,-73.83
TAMISHIYACU,-4.0036,-73.1611
FRANCISCO DE ORELLAN,-0.4731,-76.9825
NUEVO ROCAFUERTE,-0.9167,-75.3964
MAZAN,-3.4881,-73.0819
BELLAVISTA,-3.48,-73.08
BOCAS DEL ATACUARI,-3.7981,-70.7864
PARQUE AMACAYACU,-3.83333333333333,-70.3783333333333
PTO NARINO,-3.8019,-70.3378
NAZARETH,-4.1333,-70.0167
BOCATOMA,-4.1456,-69.9542
LETICIA,-4.1694,-69.9933
TABATINGA,-4.2347,-69.9447
PALMEIRAS DO JAVARI,-5.1389,-72.8136
SANTA MARIA/FLORES,-4.5397,-71.4003
ESTIRÃO DO REPOUSO,-4.3408,-70.9056
ATALAIA DO NORTE,-4.3667,-70.1833
RESTAURAÇÃO,-5.1833,-70.75
SERINGAL DO ITUI,-4.7333,-70.3
LADÁRIO,-4.7333,-70.3
LADÁRIO - JUSANTE,-4.5836,-70.2644
ESPERANÇA,-4.4053,-69.9161
MUELLE EL,0.516666666666667,-76.4833333333333
PTE CARRETE,1.15,-76.9
COLON,1.18333333333333,-76.9666666666667
SIBUNDOY,1.2,-76.8833333333333
SAN ANTÔNIO,1.1333,-76.8667
EL EDEN,1.1167,-76.9333
BALSAYACO-LA MARIA,1.11666666666667,-76.9333333333333
CANAL B,1.13333333333333,-76.95
REMOLINO,-1.2833,-73.6167
CANAL A,1.11666666666667,-76.95
SAN AGUSTIN,-1.6111,-73.4897
